car_name,Encoded_value
Renault Kiger RXZ,747
Maruti SX4 VDI,578
Kia Sonet HTK,368
Volkswagen Vento Petrol,975
Renault Duster Petrol,730
Maruti Ritz VXi,568
Volkswagen Vento 1.5,970
Nissan Sunny Diesel,705
Hyundai Elantra S,265
Maruti Ritz LXi,564
Volkswagen Vento Diesel,972
Maruti Zen LXI,610
Volkswagen Vento 1.6,971
Mercedes-Benz B Class,618
Skoda Octavia Ambition,777
Renault Duster RXZ,733
Ford Ikon 1.6,171
Maruti SX4 VXI,579
Fiat Linea T-Jet,120
Maruti Swift 1.3,585
Maruti Swift Vdi,599
Ford Ecosport S,137
Tata Hexa XM,815
Hyundai Alcazar Platinum,245
Jeep Compass 1.4,345
Hyundai Getz 1.3,270
Maruti Swift Ldi,591
Fiat Palio 1.2,122
Tata Manza Aura,844
Chevrolet Sail Hatchback,83
Honda BR-V i-VTEC,184
Volkswagen Passat 2.0,951
Mahindra XUV300 W4,453
Ford Aspire 1.2,130
Tata Hexa XMA,816
Tata Indica Aura,820
Honda City EXi,202
Mahindra XUV500 R,458
Maruti Ertiga VXI,538
Tata Harrier XZ,812
Maruti SX4 Zxi,583
Renault Triber RXE,757
Mahindra Ssangyong Rexton,443
Nissan Sunny XL,707
Nissan Magnite XL,697
Jaguar XF 2.2,336
Skoda Laura 1.8,768
Isuzu D-Max 4X4,322
Maruti Ertiga ZXI,541
Maruti Swift 1.2,584
Mercedes-Benz GL-Class 350,646
BMW X7 xDrive,61
Mercedes-Benz CLS-Class 250,631
Mercedes-Benz GLC 200,653
Honda CR-V 2.0L,192
Mercedes-Benz GLC Coupe,657
Mercedes-Benz GLB 220d,652
Mercedes-Benz GLA 220d,649
BMW 7 Series,46
Porsche Cayenne Coupe,715
Mercedes-Benz EQS 580,644
Skoda Octavia 1.8,774
Land Rover Range,373
Toyota Camry Hybrid,902
Mercedes-Benz G G,645
Porsche Taycan Standard,723
Mercedes-Benz AMG GLA,615
Chevrolet Sail 1.3,82
Mahindra Scorpio S7,437
Mercedes-Benz GLS 400d,667
Mercedes-Benz GLE 43,662
BMW X3 xDrive30i,57
Mercedes-Benz GLS 400,666
BMW X3 xDrive,54
Hyundai Tucson Signature,288
Mercedes-Benz CLA Urban,630
Tata Harrier XTA,811
Mahindra Scorpio S11,431
Audi A8 L,18
Mercedes-Benz E-Class E,636
Mini 3 DOOR,676
Mitsubishi Pajero Sport,690
Audi Q5 30,28
BMW X1 xDrive,52
Hyundai Verna S,297
Fiat Punto 1.4,125
Honda City S,206
Maruti Swift ZDi,601
BMW X3 xDrive20d,55
Datsun GO T,99
Mitsubishi Pajero 2.8,689
Volkswagen Polo GT,958
Hyundai Accent GLE,242
Datsun RediGO AMT,102
Tata Manza Club,845
Mahindra Bolero XL,405
Hyundai Verna Transform,299
Ford Fiesta Classic,154
Mahindra XUV500 W5,462
Maruti A-Star AT,482
Mitsubishi Lancer 1.5,685
Tata Punch Creative,870
Volkswagen Taigun 1.0,963
Hyundai Getz GLE,271
Honda CR-V 2.4L,194
Mercedes-Benz A Class,612
Ford Endeavour 3.0,145
Hyundai Santro Asta,277
Tata Tiago XT,884
Maruti 800 AC,479
Maruti SX4 Vxi,580
Tata Nano Lx,852
Skoda Laura 1.9,769
Tata Indigo LS,834
Chevrolet Aveo U-VA,67
Skoda Superb Laurin,796
Honda CR-V RVi,197
Hyundai Santro LE,280
Chevrolet Beat PS,71
Mahindra Bolero Camper,395
Mahindra Scorpio S2,432
Mahindra Quanto C2,417
Maruti Omni 8,554
Mahindra Thar 4X2,446
Maruti Omni Limited,558
Citroen C3 Puretech,92
Mahindra Bolero DI,396
Renault Triber RXT,759
Maruti Omni E,556
Mahindra Ingenio CRDe,408
Maruti Baleno RS,500
Honda WR-V VX,237
Chevrolet Optra 1.6,79
Maruti Ertiga BSIV,533
Skoda Laura Ambiente,771
Hyundai Xcent 1.1,303
MG Hector Hybrid,385
Tata Tiago Wizz,881
Maruti Omni LPG,557
Maruti Ritz VXI,567
Maruti Celerio LXI,508
Audi Q5 2.0,26
Tata Zest Premio,898
Ford Ecosport 1.0,135
Honda City VX,210
Renault Pulse RxZ,754
Fiat Punto 1.3,124
Mahindra Scorpio LX,428
MG Astor Super,380
Maruti Ritz ZXi,571
Honda BR-V i-DTEC,183
Tata Hexa XT,817
Mercedes-Benz A-Class Limousine,613
Maruti Jimny Alpha,552
Maruti Baleno Alpha,497
Hyundai Alcazar Prestige,246
Mercedes-Benz M-Class ML,669
Kia Sonet 1.5,365
Volkswagen Vento 1.0,968
Toyota Fortuner 4X4,923
Mahindra Alturas G4,393
Toyota Fortuner 4x4,925
Maruti Ciaz 1.3,514
Mercedes-Benz AMG GLC,616
Mercedes-Benz GLC 300,656
Honda Jazz S,223
Mahindra Bolero Power,401
Renault Lodgy 85PS,750
MG Astor Smart,378
Maruti Ritz VDI,565
Mahindra Scorpio S10,430
Volvo S60 Cross,979
Honda Brio VX,190
Fiat Avventura Power,110
Mahindra Marazzo M6,413
Jaguar XJ 3.0L,341
Toyota Etios G,911
Maruti Ritz LDi,562
MG Comet EV,381
Hyundai EON LPG,259
Mahindra Bolero Pik,399
Mahindra Xylo E9,475
Toyota Yaris V,939
BMW X3 xDrive30d,56
Tata Sumo Victa,876
Mahindra Renault Logan,420
Maruti A-Star Lxi,483
Datsun RediGO Gold,104
Maruti Zen LX,609
Hyundai Elantra 2.0,263
Maruti Estilo LXI,543
Maruti Brezza VXi,504
Chevrolet Aveo 1.4,65
Tata Tiago XE,882
Hyundai Elantra 1.6,262
Maruti Ritz Elate,560
Hyundai i20 Era,317
Maruti Swift LXI,590
Maruti Alto Vxi,493
MG Hector Smart,389
Datsun RediGO 1.0,100
Kia Sonet GTX,367
Ford Freestyle Trend,168
Tata Tigor XZA,894
Toyota Camry W2,903
Audi A4 Technology,11
Honda City Edge,203
Tata Nano Twist,853
Hyundai Getz GLS,272
Tata Winger Deluxe,895
Tata Sumo Gold,875
Maruti Ignis Alpha,548
Mahindra Scorpio S3,433
Honda Mobilio V,232
Maruti Baleno DualJet,499
Chevrolet Aveo 1.6,66
Tata Nano Cx,850
Honda Brio E,186
Citroen C5 Aircross,93
Kia Carens Luxury,353
Jaguar XJ 50,343
Volvo XC60 Inscription,996
Mahindra Scorpio N,429
Honda Brio EX,187
MG ZS EV,392
Mahindra Xylo D2,471
Maruti Ritz ZXI,570
